,Name,State abbreviation
887,SUNY College at Plattsburgh,New York
888,SUNY Empire State College,New York
889,SUNY Maritime College,New York
890,Syracuse University,New York
891,Teachers College at Columbia University,New York
892,Touro College,New York
893,Excelsior College,New York
894,Union College,New York
895,United States Merchant Marine Academy,New York
896,Utica College,New York
897,Vassar College,New York
898,Wagner College,New York
899,Wells College,New York
900,Yeshiva University,New York
901,Appalachian State University,North Carolina
902,Barton College,North Carolina
903,Belmont Abbey College,North Carolina
904,Bennett College,North Carolina
905,Brevard College,North Carolina
906,Campbell University,North Carolina
907,Catawba College,North Carolina
908,Chowan University,North Carolina
909,Davidson College,North Carolina
910,Duke University,North Carolina
911,East Carolina University,North Carolina
912,Elizabeth City State University,North Carolina
913,Elon University,North Carolina
914,Fayetteville State University,North Carolina
915,Gardner-Webb University,North Carolina
916,Greensboro College,North Carolina
917,Guilford College,North Carolina
918,High Point University,North Carolina
919,Johnson C Smith University,North Carolina
920,Lees-McRae College,North Carolina
921,Lenoir-Rhyne University,North Carolina
922,Livingstone College,North Carolina
923,Mars Hill University,North Carolina
924,Meredith College,North Carolina
925,Methodist University,North Carolina
926,Montreat College,North Carolina
927,Mount Olive College,North Carolina
928,North Carolina A & T State University,North Carolina
929,University of North Carolina at Asheville,North Carolina
930,University of North Carolina at Chapel Hill,North Carolina
931,University of North Carolina at Charlotte,North Carolina
932,University of North Carolina at Greensboro,North Carolina
933,North Carolina Central University,North Carolina
934,North Carolina State University at Raleigh,North Carolina
935,North Carolina Wesleyan College,North Carolina
936,University of North Carolina Wilmington,North Carolina
937,William Peace University,North Carolina
938,University of North Carolina at Pembroke,North Carolina
939,Pfeiffer University,North Carolina
940,Queens University of Charlotte,North Carolina
941,Mid-Atlantic Christian University,North Carolina
942,Saint Augustine's University,North Carolina
943,Salem College,North Carolina
944,Shaw University,North Carolina
945,St Andrews University,North Carolina
946,Wake Forest University,North Carolina
947,Warren Wilson College,North Carolina
948,Wingate University,North Carolina
949,Winston-Salem State University,North Carolina
950,Western Carolina University,North Carolina
951,Dickinson State University,North Dakota
952,University of Jamestown,North Dakota
953,University of Mary,North Dakota
954,Mayville State University,North Dakota
955,Minot State University,North Dakota
956,University of North Dakota,North Dakota
957,North Dakota State University-Main Campus,North Dakota
958,Valley City State University,North Dakota
959,University of Akron Main Campus,Ohio
960,Ashland University,Ohio
961,Baldwin Wallace University,Ohio
962,Bluffton University,Ohio
963,Bowling Green State University-Main Campus,Ohio
964,Capital University,Ohio
965,Case Western Reserve University,Ohio
966,Cedarville University,Ohio
967,Central State University,Ohio
968,University of Cincinnati-Main Campus,Ohio
969,Ohio Christian University,Ohio
970,Cleveland State University,Ohio
971,University of Dayton,Ohio
972,Defiance College,Ohio
973,Denison University,Ohio
974,The University of Findlay,Ohio
975,Heidelberg University,Ohio
976,Hiram College,Ohio
977,John Carroll University,Ohio
978,Kent State University at Salem,Ohio
979,Kent State University at Kent,Ohio
980,Kenyon College,Ohio
981,Lake Erie College,Ohio
982,Lourdes University,Ohio
983,Malone University,Ohio
984,Marietta College,Ohio
985,Miami University-Oxford,Ohio
986,University of Mount Union,Ohio
987,Mount Vernon Nazarene University,Ohio
988,College of Mount St Joseph,Ohio
989,Muskingum University,Ohio
990,Notre Dame College,Ohio
991,Oberlin College,Ohio
992,Ohio Dominican University,Ohio
993,Ohio Northern University,Ohio
994,Ohio State University-Lima Campus,Ohio
995,Ohio State University-Mansfield Campus,Ohio
996,Ohio State University-Marion Campus,Ohio
997,Ohio State University-Newark Campus,Ohio
998,Ohio State University-Main Campus,Ohio
999,Ohio University-Main Campus,Ohio
1000,Ohio Wesleyan University,Ohio
1001,Otterbein University,Ohio
1002,University of Rio Grande,Ohio
1003,Shawnee State University,Ohio
1004,Franciscan University of Steubenville,Ohio
1005,Tiffin University,Ohio
1006,University of Toledo,Ohio
1007,Union Institute & University,Ohio
1008,Urbana University,Ohio
1009,Ursuline College,Ohio
1010,Walsh University,Ohio
1011,Wilberforce University,Ohio
1012,Wilmington College,Ohio
1013,Wittenberg University,Ohio
1014,The College of Wooster,Ohio
1015,Wright State University-Main Campus,Ohio
1016,Xavier University,Ohio
1017,Youngstown State University,Ohio
1018,Bacone College,Oklahoma
1019,Oklahoma Wesleyan University,Oklahoma
1020,Southern Nazarene University,Oklahoma
1021,Cameron University,Oklahoma
1022,University of Central Oklahoma,Oklahoma
1023,East Central University,Oklahoma
1024,Langston University,Oklahoma
1025,Northeastern State University,Oklahoma
1026,Northwestern Oklahoma State University,Oklahoma
1027,Oklahoma Christian University,Oklahoma
1028,Oklahoma Panhandle State University,Oklahoma
1029,Oklahoma State University-Main Campus,Oklahoma
1030,Oklahoma Baptist University,Oklahoma
1031,Oklahoma City University,Oklahoma
1032,University of Oklahoma-Norman Campus,Oklahoma
1033,Oral Roberts University,Oklahoma
1034,Rogers State University,Oklahoma
1035,Saint Gregory's University,Oklahoma
1036,University of Science and Arts of Oklahoma,Oklahoma
1037,Southeastern Oklahoma State University,Oklahoma
1038,Southwestern Christian University,Oklahoma
1039,Southwestern Oklahoma State University,Oklahoma
1040,University of Tulsa,Oklahoma
1041,Concordia University-Portland,Oregon
1042,Eastern Oregon University,Oregon
1043,George Fox University,Oregon
1044,Lewis & Clark College,Oregon
1045,Linfield College-McMinnville Campus,Oregon
1046,Marylhurst University,Oregon
1047,Northwest Christian University,Oregon
1048,Oregon Institute of Technology,Oregon
1049,Oregon State University,Oregon
1050,University of Oregon,Oregon
1051,Pacific University,Oregon
1052,Portland State University,Oregon
1053,University of Portland,Oregon
1054,Reed College,Oregon
1055,Southern Oregon University,Oregon
1056,Warner Pacific College,Oregon
1057,Corban University,Oregon
1058,Willamette University,Oregon
1059,Western Oregon University,Oregon
1060,Bryn Athyn College of the New Church,Pennsylvania
1061,Albright College,Pennsylvania
1062,Allegheny College,Pennsylvania
1063,DeSales University,Pennsylvania
1064,Alvernia University,Pennsylvania
1065,Arcadia University,Pennsylvania
1066,Bloomsburg University of Pennsylvania,Pennsylvania
1067,Bryn Mawr College,Pennsylvania
1068,Bucknell University,Pennsylvania
1069,Cabrini College,Pennsylvania
1070,California University of Pennsylvania,Pennsylvania
1071,Carlow University,Pennsylvania
1072,Carnegie Mellon University,Pennsylvania
1073,Cedar Crest College,Pennsylvania
1074,Chatham University,Pennsylvania
1075,Chestnut Hill College,Pennsylvania
1076,Cheyney University of Pennsylvania,Pennsylvania
1077,Clarion University of Pennsylvania,Pennsylvania
1078,Delaware Valley College,Pennsylvania
1079,Dickinson College,Pennsylvania
1080,Drexel University,Pennsylvania
1081,Duquesne University,Pennsylvania
1082,East Stroudsburg University of Pennsylvania,Pennsylvania
1083,Eastern University,Pennsylvania
1084,Edinboro University of Pennsylvania,Pennsylvania
1085,Elizabethtown College,Pennsylvania
1086,Franklin and Marshall College,Pennsylvania
1087,Gannon University,Pennsylvania
1088,Geneva College,Pennsylvania
1089,Gettysburg College,Pennsylvania
1090,Gratz College,Pennsylvania
1091,Gwynedd Mercy University,Pennsylvania
1092,Haverford College,Pennsylvania
1093,Holy Family University,Pennsylvania
1094,Immaculata University,Pennsylvania
1095,Indiana University of Pennsylvania-Main Campus,Pennsylvania
1096,Juniata College,Pennsylvania
1097,Keystone College,Pennsylvania
1098,King's College,Pennsylvania
1099,Kutztown University of Pennsylvania,Pennsylvania
1100,La Roche College,Pennsylvania
1101,La Salle University,Pennsylvania
1102,Lafayette College,Pennsylvania
1103,Lebanon Valley College,Pennsylvania
1104,Lehigh University,Pennsylvania
1105,Lincoln University of Pennsylvania,Pennsylvania
1106,Lock Haven University,Pennsylvania
1107,Lycoming College,Pennsylvania
1108,Mansfield University of Pennsylvania,Pennsylvania
1109,Marywood University,Pennsylvania
1110,Mercyhurst University,Pennsylvania
1111,Messiah College,Pennsylvania
1112,Millersville University of Pennsylvania,Pennsylvania
1113,Misericordia University,Pennsylvania
1114,Moravian College,Pennsylvania
1115,Mount Aloysius College,Pennsylvania
1116,Muhlenberg College,Pennsylvania
1117,Neumann University,Pennsylvania
1118,Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania
1119,Pennsylvania State University-Penn State Great Valley,Pennsylvania
1120,Pennsylvania State University-Penn State New Kensington,Pennsylvania
1121,Pennsylvania State University-Penn State Shenango,Pennsylvania
1122,Pennsylvania State University-Penn State Wilkes-Barre,Pennsylvania
1123,Pennsylvania State University-Penn State Worthington Scranton,Pennsylvania
1124,Pennsylvania State University-Penn State Lehigh Valley,Pennsylvania
1125,Pennsylvania State University-Penn State Altoona,Pennsylvania
1126,Pennsylvania State University-Penn State Beaver,Pennsylvania
1127,Pennsylvania State University-Penn State Berks,Pennsylvania
1128,Pennsylvania State University-Penn State Harrisburg,Pennsylvania
1129,Pennsylvania State University-Penn State Brandywine,Pennsylvania
1130,Pennsylvania State University-Penn State Dubois,Pennsylvania
1131,Pennsylvania State University-Penn State Fayette- Eberly,Pennsylvania
1132,Pennsylvania State University-Penn State Hazleton,Pennsylvania
1133,Pennsylvania State University-Main Campus,Pennsylvania
1134,Pennsylvania State University-Penn State Greater Allegheny,Pennsylvania
1135,Pennsylvania State University-Penn State Mont Alto,Pennsylvania
1136,Pennsylvania State University-Penn State Abington,Pennsylvania
1137,Pennsylvania State University-Penn State Schuylkill,Pennsylvania
1138,Pennsylvania State University-Penn State York,Pennsylvania
1139,Peirce College,Pennsylvania
1140,University of Pennsylvania,Pennsylvania
1141,Philadelphia University,Pennsylvania
1142,Cairn University-Langhorne,Pennsylvania
1143,University of Pittsburgh-Bradford,Pennsylvania
1144,University of Pittsburgh-Greensburg,Pennsylvania
1145,University of Pittsburgh-Johnstown,Pennsylvania
1146,University of Pittsburgh-Pittsburgh Campus,Pennsylvania
1147,Point Park University,Pennsylvania
1148,Robert Morris University,Pennsylvania
1149,Rosemont College,Pennsylvania
1150,Saint Francis University,Pennsylvania
1151,Saint Joseph's University,Pennsylvania
1152,Saint Vincent College,Pennsylvania
1153,University of Scranton,Pennsylvania
1154,Seton Hill University,Pennsylvania
1155,Shippensburg University of Pennsylvania,Pennsylvania
1156,Slippery Rock University of Pennsylvania,Pennsylvania
1157,Susquehanna University,Pennsylvania
1158,Swarthmore College,Pennsylvania
1159,Temple University,Pennsylvania
1160,Thiel College,Pennsylvania
1161,Ursinus College,Pennsylvania
1162,Valley Forge Christian College,Pennsylvania
1163,Villanova University,Pennsylvania
1164,Washington & Jefferson College,Pennsylvania
1165,Waynesburg University,Pennsylvania
1166,West Chester University of Pennsylvania,Pennsylvania
1167,Westminster College,Pennsylvania
1168,Widener University-Main Campus,Pennsylvania
1169,Wilkes University,Pennsylvania
1170,Wilson College,Pennsylvania
1171,York College Pennsylvania,Pennsylvania
1172,Brown University,Rhode Island
1173,Bryant University,Rhode Island
1174,Johnson & Wales University-Providence,Rhode Island
1175,New England Institute of Technology,Rhode Island
1176,Providence College,Rhode Island
1177,Rhode Island College,Rhode Island
1178,University of Rhode Island,Rhode Island
1179,Roger Williams University,Rhode Island
1180,Salve Regina University,Rhode Island
1181,Allen University,South Carolina
1182,Anderson University,South Carolina
1183,Charleston Southern University,South Carolina
1184,Benedict College,South Carolina
1185,Southern Wesleyan University,South Carolina
1186,College of Charleston,South Carolina
1187,Citadel Military College of South Carolina,South Carolina
1188,Claflin University,South Carolina
1189,Clemson University,South Carolina
1190,Coker College,South Carolina
1191,Columbia International University,South Carolina
1192,Columbia College,South Carolina
1193,Converse College,South Carolina
1194,Erskine College,South Carolina
1195,Francis Marion University,South Carolina
1196,Furman University,South Carolina
1197,Lander University,South Carolina
1198,Limestone College,South Carolina
1199,Morris College,South Carolina
1200,Newberry College,South Carolina
1201,North Greenville University,South Carolina
1202,Presbyterian College,South Carolina
1203,University of South Carolina-Aiken,South Carolina
1204,University of South Carolina-Beaufort,South Carolina
1205,University of South Carolina-Columbia,South Carolina
1206,Coastal Carolina University,South Carolina
1207,South Carolina State University,South Carolina
1208,University of South Carolina-Upstate,South Carolina
1209,Voorhees College,South Carolina
1210,Winthrop University,South Carolina
1211,Wofford College,South Carolina
1212,Augustana College,South Dakota
1213,Black Hills State University,South Dakota
1214,Dakota State University,South Dakota
1215,Dakota Wesleyan University,South Dakota
1216,Mount Marty College,South Dakota
1217,Northern State University,South Dakota
1218,Presentation College,South Dakota
1219,South Dakota State University,South Dakota
1220,University of Sioux Falls,South Dakota
1221,University of South Dakota,South Dakota
1222,Aquinas College,Tennessee
1223,Austin Peay State University,Tennessee
1224,Belmont University,Tennessee
1225,Bethel University,Tennessee
1226,Bryan College-Dayton,Tennessee
1227,Carson-Newman University,Tennessee
1228,Christian Brothers University,Tennessee
1229,Cumberland University,Tennessee
1230,Lipscomb University,Tennessee
1231,East Tennessee State University,Tennessee
1232,Fisk University,Tennessee
1233,Welch College,Tennessee
1234,Freed-Hardeman University,Tennessee
1235,King University,Tennessee
1236,Lane College,Tennessee
1237,Le Moyne-Owen College,Tennessee
1238,Lee University,Tennessee
1239,Lincoln Memorial University,Tennessee
1240,Martin Methodist College,Tennessee
1241,Maryville College,Tennessee
1242,University of Memphis,Tennessee
1243,Middle Tennessee State University,Tennessee
1244,Milligan College,Tennessee
1245,Rhodes College,Tennessee
1246,Sewanee-The University of the South,Tennessee
1247,Southern Adventist University,Tennessee
1248,Tennessee Wesleyan College,Tennessee
1249,The University of Tennessee-Chattanooga,Tennessee
1250,The University of Tennessee-Knoxville,Tennessee
1251,The University of Tennessee-Martin,Tennessee
1252,Tennessee State University,Tennessee
1253,Tennessee Technological University,Tennessee
1254,Trevecca Nazarene University,Tennessee
1255,Tusculum College,Tennessee
1256,Union University,Tennessee
1257,Vanderbilt University,Tennessee
1258,Abilene Christian University,Texas
1259,Angelo State University,Texas
1260,Austin College,Texas
1261,Baylor University,Texas
1262,Concordia University-Texas,Texas
1263,Texas A & M University-Corpus Christi,Texas
1264,Dallas Baptist University,Texas
1265,University of Dallas,Texas
1266,East Texas Baptist University,Texas
1267,Texas A & M University-Texarkana,Texas
1268,Texas A & M University-Commerce,Texas
1269,Hardin-Simmons University,Texas
1270,Houston Baptist University,Texas
1271,University of Houston-Clear Lake,Texas
1272,University of Houston-Downtown,Texas
1273,University of Houston-Victoria,Texas
1274,University of Houston,Texas
1275,Howard Payne University,Texas
1276,Huston-Tillotson University,Texas
1277,University of the Incarnate Word,Texas
1278,Jarvis Christian College,Texas
1279,Lamar University,Texas
1280,Texas A & M International University,Texas
1281,LeTourneau University,Texas
1282,Lubbock Christian University,Texas
1283,University of Mary Hardin-Baylor,Texas
1284,McMurry University,Texas
1285,Midwestern State University,Texas
1286,University of North Texas,Texas
1287,Our Lady of the Lake University,Texas
1288,The University of Texas-Pan American,Texas
1289,The University of Texas at Brownsville,Texas
1290,Paul Quinn College,Texas
1291,Prairie View A & M University,Texas
1292,Rice University,Texas
1293,Saint Edward's University,Texas
1294,University of St Thomas,Texas
1295,Sam Houston State University,Texas
1296,Schreiner University,Texas
1297,St Mary's University,Texas
1298,Southern Methodist University,Texas
1299,Southwestern Assemblies of God University,Texas
1300,Southwestern University,Texas
1301,Stephen F Austin State University,Texas
1302,Texas State University,Texas
1303,Southwestern Adventist University,Texas
1304,Southwestern Christian College,Texas
1305,Sul Ross State University,Texas
1306,Tarleton State University,Texas
1307,Texas A & M University-Kingsville,Texas
1308,Texas A & M University-Galveston,Texas
1309,Texas A & M University-College Station,Texas
1310,The University of Texas at Arlington,Texas
1311,The University of Texas at Austin,Texas
1312,The University of Texas at Dallas,Texas
1313,The University of Texas at El Paso,Texas
1314,The University of Texas at Tyler,Texas
1315,Texas Christian University,Texas
1316,Texas College,Texas
1317,Texas Lutheran University,Texas
1318,The University of Texas of the Permian Basin,Texas
1319,The University of Texas at San Antonio,Texas
1320,Texas Southern University,Texas
1321,Texas Tech University,Texas
1322,Texas Wesleyan University,Texas
1323,Texas Woman's University,Texas
1324,Trinity University,Texas
1325,Wayland Baptist University,Texas
1326,West Texas A & M University,Texas
1327,Wiley College,Texas
1328,Brigham Young University-Provo,Utah
1329,Brigham Young University-Hawaii,Hawaii
1330,Dixie State University,Utah
1331,Southern Utah University,Utah
1332,Stevens-Henager College-Ogden,Utah
1333,Stevens-Henager College of Business-Provo,Utah
1334,Utah State University,Utah
1335,Utah Valley University,Utah
1336,University of Utah,Utah
1337,Weber State University,Utah
1338,Westminster College,Utah
1339,Bennington College,Vermont
1340,Burlington College,Vermont
1341,Castleton State College,Vermont
1342,Champlain College,Vermont
1343,Goddard College,Vermont
1344,Green Mountain College,Vermont
1345,Johnson State College,Vermont
1346,Lyndon State College,Vermont
1347,Marlboro College,Vermont
1348,Middlebury College,Vermont
1349,Norwich University,Vermont
1350,Saint Michael's College,Vermont
1351,SIT Graduate Institute,Vermont
1352,College of St Joseph,Vermont
1353,Southern Vermont College,Vermont
1354,Sterling College,Vermont
1355,Vermont Technical College,Vermont
1356,University of Vermont,Vermont
1357,Averett University,Virginia
1358,Bluefield College,Virginia
1359,Bridgewater College,Virginia
1360,College of William and Mary,Virginia
1361,Regent University,Virginia
1362,Christopher Newport University,Virginia
1363,Emory & Henry College,Virginia
1364,Eastern Mennonite University,Virginia
1365,Ferrum College,Virginia
1366,George Mason University,Virginia
1367,Hampden-Sydney College,Virginia
1368,Hampton University,Virginia
1369,Hollins University,Virginia
1370,James Madison University,Virginia
1371,Liberty University,Virginia
1372,Longwood University,Virginia
1373,Lynchburg College,Virginia
1374,Mary Baldwin College,Virginia
1375,University of Mary Washington,Virginia
1376,Marymount University,Virginia
1377,Norfolk State University,Virginia
1378,Old Dominion University,Virginia
1379,Radford University,Virginia
1380,Randolph-Macon College,Virginia
1381,Randolph College,Virginia
1382,University of Richmond,Virginia
1383,Roanoke College,Virginia
1384,Shenandoah University,Virginia
1385,Southern Virginia University,Virginia
1386,Sweet Briar College,Virginia
1387,The University of Virginia's College at Wise,Virginia
1388,Virginia Intermont College,Virginia
1389,Virginia Polytechnic Institute and State University,Virginia
1390,Virginia Commonwealth University,Virginia
1391,University of Virginia-Main Campus,Virginia
1392,Virginia Military Institute,Virginia
1393,Virginia State University,Virginia
1394,Virginia Union University,Virginia
1395,Virginia Wesleyan College,Virginia
1396,Washington and Lee University,Virginia
1397,Central Washington University,Washington
1398,City University of Seattle,Washington
1399,Eastern Washington University,Washington
1400,The Evergreen State College,Washington
1401,Gonzaga University,Washington
1402,Heritage University,Washington
1403,Trinity Lutheran College,Washington
1404,Northwest University,Washington
1405,Pacific Lutheran University,Washington
1406,University of Puget Sound,Washington
1407,Saint Martin's University,Washington
1408,Seattle Pacific University,Washington
1409,Seattle University,Washington
1410,Walla Walla University,Washington
1411,Washington State University,Washington
1412,University of Washington-Seattle Campus,Washington
1413,Western Washington University,Washington
1414,Whitman College,Washington
1415,Whitworth University,Washington
1416,Alderson Broaddus University,West Virginia
1417,Bethany College,West Virginia
1418,Bluefield State College,West Virginia
1419,University of Charleston,West Virginia
1420,Concord University,West Virginia
1421,Davis & Elkins College,West Virginia
1422,Fairmont State University,West Virginia
1423,Glenville State College,West Virginia
1424,Marshall University,West Virginia
1425,Ohio Valley University,West Virginia
1426,West Virginia University at Parkersburg,West Virginia
1427,Shepherd University,West Virginia
1428,West Virginia State University,West Virginia
1429,West Liberty University,West Virginia
1430,West Virginia University Institute of Technology,West Virginia
1431,West Virginia Wesleyan College,West Virginia
1432,West Virginia University,West Virginia
1433,Wheeling Jesuit University,West Virginia
1434,Alverno College,Wisconsin
1435,Beloit College,Wisconsin
1436,Cardinal Stritch University,Wisconsin
1437,Carroll University,Wisconsin
1438,Carthage College,Wisconsin
1439,Concordia University-Wisconsin,Wisconsin
1440,Edgewood College,Wisconsin
1441,Lakeland College,Wisconsin
1442,Lawrence University,Wisconsin
1443,Maranatha Baptist University,Wisconsin
1444,Marian University,Wisconsin
1445,Marquette University,Wisconsin
1446,Milwaukee School of Engineering,Wisconsin
1447,Mount Mary University,Wisconsin
1448,Northland International University,Wisconsin
1449,Northland College,Wisconsin
1450,Ripon College,Wisconsin
1451,Saint Norbert College,Wisconsin
1452,Silver Lake College of the Holy Family,Wisconsin
1453,Viterbo University,Wisconsin
1454,University of Wisconsin-Whitewater,Wisconsin
1455,University of Wisconsin-Eau Claire,Wisconsin
1456,University of Wisconsin-Green Bay,Wisconsin
1457,University of Wisconsin-La Crosse,Wisconsin
1458,Wisconsin Lutheran College,Wisconsin
1459,University of Wisconsin-Oshkosh,Wisconsin
1460,University of Wisconsin-Parkside,Wisconsin
1461,University of Wisconsin-Stout,Wisconsin
1462,University of Wisconsin-Superior,Wisconsin
1463,University of Wisconsin-Madison,Wisconsin
1464,University of Wisconsin-Milwaukee,Wisconsin
1465,University of Wisconsin-Platteville,Wisconsin
1466,University of Wisconsin-River Falls,Wisconsin
1467,University of Wisconsin-Stevens Point,Wisconsin
1468,University of Wyoming,Wyoming
1469,Stanford University,California
1470,Purdue University-Main Campus,Indiana
1471,City College-Fort Lauderdale,Florida
1472,St John's College,New Mexico
1473,Antioch University-Los Angeles,California
1474,Antioch University-Santa Barbara,California
1475,Antioch University-New England,New Hampshire
1476,Antioch University-Seattle,Washington
1477,Antioch University-Midwest,Ohio
1478,Mid-America Christian University,Oklahoma
1479,Brandman University,California
1480,New College of Florida,Florida
1481,Mayo Graduate School,Minnesota
1482,Pennsylvania College of Technology,Pennsylvania
1483,California State University-San Marcos,California
1484,Hodges University,Florida
1485,Remington College-Honolulu Campus,Hawaii
1486,University of Washington-Bothell Campus,Washington
1487,University of Washington-Tacoma Campus,Washington
1488,Baker College of Port Huron,Michigan
1489,Beacon College,Florida
1490,Everglades University,Florida
1491,Soka University of America,California
1492,Baker College of Auburn Hills,Michigan
1493,Baker College of Clinton Township,Michigan
1494,Baker College of Cadillac,Michigan
1495,City College-Gainesville,Florida
1496,California State University-Monterey Bay,California
1497,Baker College of Jackson,Michigan
1498,Baker College Center for Graduate Studies,Michigan
1499,Johnson & Wales University-North Miami,Florida
1500,Trine University-Regional/Non-Traditional Campuses,Indiana
1501,Ottawa University-Milwaukee,Wisconsin
1502,Western Governors University,Utah
1503,Florida Gulf Coast University,Florida
1504,Michigan Jewish Institute,Michigan
1505,City College-Miami,Florida
1506,Stevens-Henager College-Murray,Utah
1507,Johnson & Wales University-Denver,Colorado
1508,Marlboro College-Graduate School,Vermont
1509,San Diego State University-Imperial Valley Campus,California
1510,Nevada State College,Nevada
1511,California State University-Channel Islands,California
1512,Baker College of Allen Park,Michigan
1513,Flagler College-Tallahassee,Florida
1514,Central Methodist University-College of Graduate and Extended Studies,Missouri
1515,Johnson & Wales University-Charlotte,North Carolina
1516,Ave Maria University,Florida
1517,Harrisburg University of Science and Technology,Pennsylvania
1518,Stevens-Henager College-Logan,Utah
1519,Union Graduate College,New York
1520,Georgia Gwinnett College,Georgia
1521,Doane College-Lincoln Grand Island and Master,Nebraska
1522,Shorter University-College of Adult & Professional Programs,Georgia
1523,College America-Colorado Springs,Colorado
1524,The Robert B Miller College,Michigan
1525,University of South Florida-St Petersburg,Florida
1526,University of the West,California
1527,Averett University-Non-Traditional Programs,Virginia
1528,LIU Riverhead,New York
1529,University of South Florida-Sarasota-Manatee,Florida
1530,The Kingâ€™s College,New York
1531,Ottawa University-Online,Kansas
1532,Providence Christian College,California
1533,Polytechnic University of Puerto Rico-Orlando,Florida
